Date,open,high,low,close,adjclose,volume,ingested_at_utc
02-01-2018,150500,153000,149000,149500,112276.4219,731763,2026-02-19 06:47:45.287325+00:00
03-01-2018,149000,151000,149000,150500,113027.4219,450874,2026-02-19 06:47:45.287325+00:00
04-01-2018,150500,151000,146000,146500,110023.375,931558,2026-02-19 06:47:45.287325+00:00
05-01-2018,146000,149000,145500,149000,111900.8906,463695,2026-02-19 06:47:45.287325+00:00
08-01-2018,148500,151000,147500,151000,113402.9297,482619,2026-02-19 06:47:45.287325+00:00
09-01-2018,151000,152500,149500,152500,114529.4531,465845,2026-02-19 06:47:45.287325+00:00
10-01-2018,152500,158000,152000,155500,116782.5,793679,2026-02-19 06:47:45.287325+00:00
11-01-2018,156000,156500,152500,155000,116406.9688,476891,2026-02-19 06:47:45.287325+00:00
12-01-2018,153500,156000,153500,154000,115655.9766,424738,2026-02-19 06:47:45.287325+00:00
15-01-2018,154000,155000,151000,155000,116406.9688,315592,2026-02-19 06:47:45.287325+00:00
16-01-2018,153500,158000,153000,158000,118660.0234,440542,2026-02-19 06:47:45.287325+00:00
17-01-2018,157000,159000,156000,157500,118284.5156,363034,2026-02-19 06:47:45.287325+00:00
18-01-2018,157500,158000,154000,155000,116406.9688,324686,2026-02-19 06:47:45.287325+00:00
19-01-2018,155000,162000,154500,162000,121664.0938,637243,2026-02-19 06:47:45.287325+00:00
22-01-2018,162500,164000,158500,162500,122039.5625,582519,2026-02-19 06:47:45.287325+00:00
23-01-2018,163000,167500,161000,161000,120913.0625,727921,2026-02-19 06:47:45.287325+00:00
24-01-2018,160500,162000,156000,156500,117533.4844,653451,2026-02-19 06:47:45.287325+00:00
25-01-2018,155500,159000,154000,158500,119035.5234,776214,2026-02-19 06:47:45.287325+00:00
26-01-2018,155000,155500,149000,152500,114529.4531,1058626,2026-02-19 06:47:45.287325+00:00
29-01-2018,153000,155500,152000,154500,116031.4766,504827,2026-02-19 06:47:45.287325+00:00
30-01-2018,155000,158000,154500,156000,117158,458611,2026-02-19 06:47:45.287325+00:00
31-01-2018,157000,162000,154500,162000,121664.0938,926031,2026-02-19 06:47:45.287325+00:00
01-02-2018,161500,162000,158500,160500,120537.5391,478000,2026-02-19 06:47:45.287325+00:00
02-02-2018,161000,164000,160500,162500,122039.5625,813167,2026-02-19 06:47:45.287325+00:00
05-02-2018,162500,163000,159000,159000,119411.0469,670474,2026-02-19 06:47:45.287325+00:00
06-02-2018,158000,161000,153500,157500,118284.5156,690538,2026-02-19 06:47:45.287325+00:00
07-02-2018,157500,160500,156000,157500,118284.5156,552642,2026-02-19 06:47:45.287325+00:00
08-02-2018,158500,163500,156500,161000,120913.0625,883512,2026-02-19 06:47:45.287325+00:00
09-02-2018,156500,158500,154500,155000,116406.9688,721962,2026-02-19 06:47:45.287325+00:00
12-02-2018,155500,156500,153500,154000,115655.9766,554120,2026-02-19 06:47:45.287325+00:00
13-02-2018,154000,155500,152000,152500,114529.4531,528608,2026-02-19 06:47:45.287325+00:00
14-02-2018,152000,155000,152000,154500,116031.4766,265716,2026-02-19 06:47:45.287325+00:00
19-02-2018,156500,157000,154500,155000,116406.9688,265257,2026-02-19 06:47:45.287325+00:00
20-02-2018,155000,156000,152500,153500,115280.4922,218792,2026-02-19 06:47:45.287325+00:00
21-02-2018,152500,161000,152500,160000,120162.0391,537567,2026-02-19 06:47:45.287325+00:00
22-02-2018,159000,159500,156000,157000,117909.0078,339005,2026-02-19 06:47:45.287325+00:00
23-02-2018,158500,159500,157500,159000,119411.0469,275917,2026-02-19 06:47:45.287325+00:00
26-02-2018,159000,162000,157500,161000,120913.0625,513314,2026-02-19 06:47:45.287325+00:00
27-02-2018,160500,162000,160000,161000,120913.0625,273491,2026-02-19 06:47:45.287325+00:00
28-02-2018,159000,163000,158000,161500,121288.5469,496851,2026-02-19 06:47:45.287325+00:00
