Date,open,high,low,close,adjclose,volume,ingested_at_utc
02-01-2025,212000,216000,210500,211500,198332.625,437773,2026-02-19 06:47:45.287325+00:00
03-01-2025,211500,215000,211000,213000,199739.2656,456107,2026-02-19 06:47:45.287325+00:00
06-01-2025,213000,213500,207000,211500,198332.625,782307,2026-02-19 06:47:45.287325+00:00
07-01-2025,211500,214000,210500,211000,197863.7656,511955,2026-02-19 06:47:45.287325+00:00
08-01-2025,209500,215500,209000,213500,200208.1406,603411,2026-02-19 06:47:45.287325+00:00
09-01-2025,215000,219500,213000,213000,199739.2656,866529,2026-02-19 06:47:45.287325+00:00
10-01-2025,215000,227000,215000,226000,211929.9063,1951806,2026-02-19 06:47:45.287325+00:00
13-01-2025,225500,226000,218500,220000,206303.4531,867629,2026-02-19 06:47:45.287325+00:00
14-01-2025,221000,224500,219500,222000,208178.9375,547856,2026-02-19 06:47:45.287325+00:00
15-01-2025,222000,224000,220500,220500,206772.3125,492913,2026-02-19 06:47:45.287325+00:00
16-01-2025,223000,224000,218000,219000,205365.7188,435312,2026-02-19 06:47:45.287325+00:00
17-01-2025,217500,218000,211000,211500,198332.625,813817,2026-02-19 06:47:45.287325+00:00
20-01-2025,211000,212000,207500,208500,195519.4063,571176,2026-02-19 06:47:45.287325+00:00
21-01-2025,210500,213000,206500,206500,193643.9219,833996,2026-02-19 06:47:45.287325+00:00
22-01-2025,207500,210000,206500,208500,195519.4063,832710,2026-02-19 06:47:45.287325+00:00
23-01-2025,208000,213500,205500,209000,195988.2813,1032782,2026-02-19 06:47:45.287325+00:00
24-01-2025,208000,208500,203000,205000,192237.3125,1077548,2026-02-19 06:47:45.287325+00:00
31-01-2025,204500,207500,200000,206000,193175.0469,986621,2026-02-19 06:47:45.287325+00:00
03-02-2025,201000,203500,200000,202000,189424.0781,911137,2026-02-19 06:47:45.287325+00:00
04-02-2025,205000,208500,201000,201000,188486.3281,841947,2026-02-19 06:47:45.287325+00:00
05-02-2025,201500,206500,201000,204500,191768.4219,710413,2026-02-19 06:47:45.287325+00:00
06-02-2025,206000,207000,203000,203500,190830.7031,605308,2026-02-19 06:47:45.287325+00:00
07-02-2025,203500,204500,200000,200500,188017.4688,834221,2026-02-19 06:47:45.287325+00:00
10-02-2025,199500,201000,197700,199400,186985.9375,992303,2026-02-19 06:47:45.287325+00:00
11-02-2025,199500,202500,198500,199400,186985.9375,842452,2026-02-19 06:47:45.287325+00:00
12-02-2025,199000,200500,198100,198100,185766.875,567219,2026-02-19 06:47:45.287325+00:00
13-02-2025,202500,210000,202000,208500,195519.4063,1493929,2026-02-19 06:47:45.287325+00:00
14-02-2025,208000,210000,205500,206000,193175.0469,823619,2026-02-19 06:47:45.287325+00:00
17-02-2025,201000,202500,199500,199800,187361.0313,894545,2026-02-19 06:47:45.287325+00:00
18-02-2025,200000,201500,198900,200500,188017.4688,560363,2026-02-19 06:47:45.287325+00:00
19-02-2025,198900,204500,198800,204000,191299.5625,854114,2026-02-19 06:47:45.287325+00:00
20-02-2025,202500,204000,201500,203000,190361.8281,354026,2026-02-19 06:47:45.287325+00:00
21-02-2025,209000,211000,204000,206000,193175.0469,713842,2026-02-19 06:47:45.287325+00:00
24-02-2025,204000,207000,203500,207000,194112.7969,497135,2026-02-19 06:47:45.287325+00:00
25-02-2025,205000,205000,202000,202500,189892.9531,651155,2026-02-19 06:47:45.287325+00:00
26-02-2025,203500,207000,203000,205000,192237.3125,750341,2026-02-19 06:47:45.287325+00:00
27-02-2025,200500,201000,199300,200500,193686.3281,890406,2026-02-19 06:47:45.287325+00:00
28-02-2025,198600,198800,193000,193000,186441.2031,1187503,2026-02-19 06:47:45.287325+00:00
04-03-2025,190000,195100,189200,190300,183832.9688,592292,2026-02-19 06:47:45.287325+00:00
05-03-2025,191800,197000,191800,194700,188083.4375,798748,2026-02-19 06:47:45.287325+00:00
06-03-2025,199200,201000,196500,197600,190884.875,659716,2026-02-19 06:47:45.287325+00:00
07-03-2025,194800,197200,194100,196600,189918.8594,574321,2026-02-19 06:47:45.287325+00:00
10-03-2025,196600,198600,195200,197400,190691.6719,318730,2026-02-19 06:47:45.287325+00:00
11-03-2025,194500,196000,192700,195600,188952.8438,456616,2026-02-19 06:47:45.287325+00:00
12-03-2025,195800,198200,195000,198200,191464.4844,351293,2026-02-19 06:47:45.287325+00:00
13-03-2025,199300,201000,196200,201000,194169.3281,578677,2026-02-19 06:47:45.287325+00:00
14-03-2025,199800,200500,197500,198500,191754.2969,473953,2026-02-19 06:47:45.287325+00:00
17-03-2025,198400,199000,195300,199000,192237.2969,369290,2026-02-19 06:47:45.287325+00:00
18-03-2025,199500,202000,199300,200500,193686.3281,505699,2026-02-19 06:47:45.287325+00:00
19-03-2025,201000,204000,199000,204000,197067.375,520541,2026-02-19 06:47:45.287325+00:00
20-03-2025,204500,205000,201500,202500,195618.3594,635938,2026-02-19 06:47:45.287325+00:00
21-03-2025,201500,205000,201000,205000,198033.4063,552626,2026-02-19 06:47:45.287325+00:00
24-03-2025,204500,216000,203500,213000,205761.5313,1212302,2026-02-19 06:47:45.287325+00:00
25-03-2025,228500,229000,218500,220000,212523.6406,2097056,2026-02-19 06:47:45.287325+00:00
26-03-2025,224000,227500,220500,222000,214455.6875,1220193,2026-02-19 06:47:45.287325+00:00
27-03-2025,215000,216500,212000,212500,205278.5313,1027562,2026-02-19 06:47:45.287325+00:00
28-03-2025,208000,209500,202500,205000,198033.4063,1003500,2026-02-19 06:47:45.287325+00:00
31-03-2025,199900,201000,196800,197200,190498.4688,936571,2026-02-19 06:47:45.287325+00:00
01-04-2025,199000,200500,196100,198600,191850.8906,641043,2026-02-19 06:47:45.287325+00:00
02-04-2025,198800,199100,195800,196300,189629.0625,615215,2026-02-19 06:47:45.287325+00:00
03-04-2025,191000,194500,189100,193800,187214,954824,2026-02-19 06:47:45.287325+00:00
04-04-2025,191300,196500,189600,191800,185281.9844,810211,2026-02-19 06:47:45.287325+00:00
07-04-2025,184700,185300,178900,179100,173013.5781,1244441,2026-02-19 06:47:45.287325+00:00
08-04-2025,181400,183800,177500,179200,173110.1719,1082825,2026-02-19 06:47:45.287325+00:00
09-04-2025,177500,180900,177300,178000,171950.9531,689621,2026-02-19 06:47:45.287325+00:00
10-04-2025,191700,192900,186500,187000,180645.1094,1426032,2026-02-19 06:47:45.287325+00:00
11-04-2025,181800,183000,175800,177500,171467.9375,1647599,2026-02-19 06:47:45.287325+00:00
14-04-2025,178400,180300,177500,179300,173206.7813,536959,2026-02-19 06:47:45.287325+00:00
15-04-2025,185400,189200,183700,187000,180645.1094,1052017,2026-02-19 06:47:45.287325+00:00
16-04-2025,185200,186400,181300,181700,175525.2188,593391,2026-02-19 06:47:45.287325+00:00
17-04-2025,182600,184600,181500,181700,175525.2188,522233,2026-02-19 06:47:45.287325+00:00
18-04-2025,182800,188300,181200,187200,180838.3125,664774,2026-02-19 06:47:45.287325+00:00
21-04-2025,187500,188800,185500,187300,180934.9219,352360,2026-02-19 06:47:45.287325+00:00
22-04-2025,186100,187700,185200,185600,179292.6875,392723,2026-02-19 06:47:45.287325+00:00
23-04-2025,188900,190400,187400,190000,183543.1563,607448,2026-02-19 06:47:45.287325+00:00
24-04-2025,191100,191200,186500,188900,182480.5469,642753,2026-02-19 06:47:45.287325+00:00
25-04-2025,191000,191000,188600,188800,182383.9375,528739,2026-02-19 06:47:45.287325+00:00
28-04-2025,188100,190100,187000,189000,182577.1563,450993,2026-02-19 06:47:45.287325+00:00
29-04-2025,192700,194000,189700,192800,186248,594224,2026-02-19 06:47:45.287325+00:00
30-04-2025,192700,193300,190200,190600,184122.7656,429791,2026-02-19 06:47:45.287325+00:00
02-05-2025,190200,190500,188200,189400,182963.5313,464020,2026-02-19 06:47:45.287325+00:00
07-05-2025,191400,191400,186500,187600,181224.7188,666181,2026-02-19 06:47:45.287325+00:00
08-05-2025,187600,188900,187100,187100,180741.7188,543972,2026-02-19 06:47:45.287325+00:00
09-05-2025,191200,193400,189500,189900,183446.5469,514047,2026-02-19 06:47:45.287325+00:00
12-05-2025,191900,195800,191400,195800,189146.0469,569602,2026-02-19 06:47:45.287325+00:00
13-05-2025,197400,198000,195100,196700,190015.4688,462830,2026-02-19 06:47:45.287325+00:00
14-05-2025,197200,198300,194300,197100,190401.8594,557318,2026-02-19 06:47:45.287325+00:00
15-05-2025,195200,196900,192200,192900,186344.5938,469355,2026-02-19 06:47:45.287325+00:00
16-05-2025,193300,194700,193000,193800,187214,311743,2026-02-19 06:47:45.287325+00:00
19-05-2025,193000,193000,190000,191000,184509.1563,378893,2026-02-19 06:47:45.287325+00:00
20-05-2025,192800,194100,189500,189500,183060.1406,422756,2026-02-19 06:47:45.287325+00:00
21-05-2025,189500,190350,187400,188000,181611.1094,558502,2026-02-19 06:47:45.287325+00:00
22-05-2025,187000,187000,181900,182400,176201.4375,982354,2026-02-19 06:47:45.287325+00:00
23-05-2025,182400,182500,179300,179900,173786.3906,829741,2026-02-19 06:47:45.287325+00:00
26-05-2025,180100,183000,179700,181900,175718.4063,623947,2026-02-19 06:47:45.287325+00:00
27-05-2025,180700,181900,180300,181900,175718.4063,502985,2026-02-19 06:47:45.287325+00:00
28-05-2025,182400,186300,182400,185900,179582.4844,611926,2026-02-19 06:47:45.287325+00:00
29-05-2025,189600,193000,186300,191000,187024.2969,1093538,2026-02-19 06:47:45.287325+00:00
30-05-2025,187400,187500,185300,185300,181442.9375,781444,2026-02-19 06:47:45.287325+00:00
02-06-2025,184600,185500,183100,184000,180170,538182,2026-02-19 06:47:45.287325+00:00
04-06-2025,185100,186500,184100,186000,182128.375,577325,2026-02-19 06:47:45.287325+00:00
05-06-2025,186000,193000,186000,189600,185653.4219,797915,2026-02-19 06:47:45.287325+00:00
09-06-2025,192900,198400,192300,197800,193682.75,1665140,2026-02-19 06:47:45.287325+00:00
10-06-2025,201000,201500,195800,197000,192899.4063,998951,2026-02-19 06:47:45.287325+00:00
