Date,open,high,low,close,adjclose,volume,ingested_at_utc
04-01-2016,147500,148000,143500,144000,102446.2344,445332,2026-02-19 06:47:45.287325+00:00
05-01-2016,143000,145000,142000,143500,102090.5313,530496,2026-02-19 06:47:45.287325+00:00
06-01-2016,144000,145000,139000,140000,99600.53906,769406,2026-02-19 06:47:45.287325+00:00
07-01-2016,138500,140000,137500,137500,97821.94531,586187,2026-02-19 06:47:45.287325+00:00
08-01-2016,134500,138000,133500,136500,97110.50781,888701,2026-02-19 06:47:45.287325+00:00
11-01-2016,134500,140500,134000,140000,99600.53906,542749,2026-02-19 06:47:45.287325+00:00
12-01-2016,140500,141500,139000,139500,99244.80469,386506,2026-02-19 06:47:45.287325+00:00
13-01-2016,140500,141500,139500,140500,99956.23438,338336,2026-02-19 06:47:45.287325+00:00
14-01-2016,138500,143500,136500,141000,100311.9453,664829,2026-02-19 06:47:45.287325+00:00
15-01-2016,141000,142000,136500,138500,98533.36719,568653,2026-02-19 06:47:45.287325+00:00
18-01-2016,137500,140000,135500,139000,98889.09375,400716,2026-02-19 06:47:45.287325+00:00
19-01-2016,138000,140000,136000,140000,99600.53906,332956,2026-02-19 06:47:45.287325+00:00
20-01-2016,139500,140000,135500,136500,97110.50781,544330,2026-02-19 06:47:45.287325+00:00
21-01-2016,136000,138000,135500,137000,97466.22656,455723,2026-02-19 06:47:45.287325+00:00
22-01-2016,138000,140500,136500,139000,98889.09375,551671,2026-02-19 06:47:45.287325+00:00
25-01-2016,140000,140500,136000,137500,97821.94531,543064,2026-02-19 06:47:45.287325+00:00
26-01-2016,136500,137000,134500,136000,96754.78125,564584,2026-02-19 06:47:45.287325+00:00
27-01-2016,135500,137000,134500,137000,97466.22656,702981,2026-02-19 06:47:45.287325+00:00
28-01-2016,135500,136500,134500,135000,96043.35938,480730,2026-02-19 06:47:45.287325+00:00
29-01-2016,135000,136000,131000,133000,94620.49219,990382,2026-02-19 06:47:45.287325+00:00
01-02-2016,132000,132500,130500,132500,94264.77344,689972,2026-02-19 06:47:45.287325+00:00
02-02-2016,131500,132500,129000,129500,92130.46875,594441,2026-02-19 06:47:45.287325+00:00
03-02-2016,127500,129500,126500,129000,91774.76563,649021,2026-02-19 06:47:45.287325+00:00
04-02-2016,130000,132500,129500,132500,94264.77344,600523,2026-02-19 06:47:45.287325+00:00
05-02-2016,132000,133500,131000,133500,94976.21094,513150,2026-02-19 06:47:45.287325+00:00
11-02-2016,130500,132500,130500,131000,93197.625,688873,2026-02-19 06:47:45.287325+00:00
12-02-2016,131500,137500,131000,137000,97466.22656,1264899,2026-02-19 06:47:45.287325+00:00
15-02-2016,137500,141500,135000,139500,99244.80469,879160,2026-02-19 06:47:45.287325+00:00
16-02-2016,139500,142500,137500,141000,100311.9453,524822,2026-02-19 06:47:45.287325+00:00
17-02-2016,142000,147500,141000,147000,104580.5469,772996,2026-02-19 06:47:45.287325+00:00
18-02-2016,147500,149000,145500,147000,104580.5469,468798,2026-02-19 06:47:45.287325+00:00
19-02-2016,147000,151000,147000,149000,106003.4219,477553,2026-02-19 06:47:45.287325+00:00
22-02-2016,147500,148500,146000,147500,104936.25,273335,2026-02-19 06:47:45.287325+00:00
23-02-2016,148000,149000,146500,149000,106003.4219,250401,2026-02-19 06:47:45.287325+00:00
24-02-2016,147500,150000,146500,149000,106003.4219,191286,2026-02-19 06:47:45.287325+00:00
25-02-2016,149500,153000,145500,147000,104580.5469,490265,2026-02-19 06:47:45.287325+00:00
26-02-2016,148000,148000,144500,147000,104580.5469,351408,2026-02-19 06:47:45.287325+00:00
29-02-2016,145500,149000,144500,147500,104936.25,570117,2026-02-19 06:47:45.287325+00:00
02-03-2016,150000,150000,148000,150000,106714.8359,539821,2026-02-19 06:47:45.287325+00:00
03-03-2016,151500,151500,146000,147500,104936.25,627810,2026-02-19 06:47:45.287325+00:00
04-03-2016,146000,147500,143500,147500,104936.25,696287,2026-02-19 06:47:45.287325+00:00
07-03-2016,147500,147500,145500,146500,104224.8125,317439,2026-02-19 06:47:45.287325+00:00
08-03-2016,145000,149500,145000,148000,105291.9609,366489,2026-02-19 06:47:45.287325+00:00
09-03-2016,147000,149500,146500,149500,106359.1328,452965,2026-02-19 06:47:45.287325+00:00
10-03-2016,149000,150000,148000,148000,105291.9609,690061,2026-02-19 06:47:45.287325+00:00
11-03-2016,147500,150000,147500,149000,106003.4219,408175,2026-02-19 06:47:45.287325+00:00
14-03-2016,150000,150500,147000,148500,105647.6953,362075,2026-02-19 06:47:45.287325+00:00
15-03-2016,148500,149000,146000,147000,104580.5469,309077,2026-02-19 06:47:45.287325+00:00
16-03-2016,147000,148000,145500,146500,104224.8125,206136,2026-02-19 06:47:45.287325+00:00
17-03-2016,148000,148500,146000,146500,104224.8125,492380,2026-02-19 06:47:45.287325+00:00
18-03-2016,148000,150500,147500,150500,107070.5625,769047,2026-02-19 06:47:45.287325+00:00
21-03-2016,151000,155000,149500,154500,109916.2891,803657,2026-02-19 06:47:45.287325+00:00
22-03-2016,155500,159000,155000,159000,113117.7109,872121,2026-02-19 06:47:45.287325+00:00
23-03-2016,159500,159500,157000,158000,112406.3047,454762,2026-02-19 06:47:45.287325+00:00
24-03-2016,156500,157000,154500,155500,110627.6953,288522,2026-02-19 06:47:45.287325+00:00
25-03-2016,154500,155500,152000,153000,108849.1406,279961,2026-02-19 06:47:45.287325+00:00
28-03-2016,153000,156500,152000,154000,109560.5625,186865,2026-02-19 06:47:45.287325+00:00
29-03-2016,155000,156000,153500,155000,110271.9844,229075,2026-02-19 06:47:45.287325+00:00
30-03-2016,156000,159000,155000,155500,110627.6953,373060,2026-02-19 06:47:45.287325+00:00
31-03-2016,156000,156000,151500,152500,108493.4063,575626,2026-02-19 06:47:45.287325+00:00
01-04-2016,152500,152500,147500,149500,106359.1328,604435,2026-02-19 06:47:45.287325+00:00
04-04-2016,148500,149500,143500,144000,102446.2344,767267,2026-02-19 06:47:45.287325+00:00
05-04-2016,144000,145000,143500,144500,102801.9766,292339,2026-02-19 06:47:45.287325+00:00
06-04-2016,144000,146000,144000,144000,102446.2344,379789,2026-02-19 06:47:45.287325+00:00
07-04-2016,143500,146500,143500,146500,104224.8125,366852,2026-02-19 06:47:45.287325+00:00
08-04-2016,146000,146500,144000,146000,103869.1016,339546,2026-02-19 06:47:45.287325+00:00
11-04-2016,147500,147500,145000,146000,103869.1016,197423,2026-02-19 06:47:45.287325+00:00
12-04-2016,146000,150000,145000,148500,105647.6953,361212,2026-02-19 06:47:45.287325+00:00
14-04-2016,150000,152000,149500,152000,108137.7109,496852,2026-02-19 06:47:45.287325+00:00
15-04-2016,150500,152000,149000,151500,107781.9844,297722,2026-02-19 06:47:45.287325+00:00
18-04-2016,150000,155000,150000,154000,109560.5625,406339,2026-02-19 06:47:45.287325+00:00
19-04-2016,155000,155000,152000,153000,108849.1406,310407,2026-02-19 06:47:45.287325+00:00
20-04-2016,153500,155000,151000,151500,107781.9844,270230,2026-02-19 06:47:45.287325+00:00
21-04-2016,152000,154500,152000,154000,109560.5625,297646,2026-02-19 06:47:45.287325+00:00
22-04-2016,152000,153500,150500,151000,107426.2734,318972,2026-02-19 06:47:45.287325+00:00
25-04-2016,151000,152000,149000,149500,106359.1328,273343,2026-02-19 06:47:45.287325+00:00
26-04-2016,149000,154000,149000,153500,109204.8672,365930,2026-02-19 06:47:45.287325+00:00
27-04-2016,152000,153000,148500,149000,106003.4219,374037,2026-02-19 06:47:45.287325+00:00
28-04-2016,148500,150500,147000,148000,105291.9609,466520,2026-02-19 06:47:45.287325+00:00
29-04-2016,146500,147500,142000,143500,102090.5313,739237,2026-02-19 06:47:45.287325+00:00
02-05-2016,142000,144000,141500,142500,101379.0938,242036,2026-02-19 06:47:45.287325+00:00
03-05-2016,143000,144000,142000,142500,101379.0938,359029,2026-02-19 06:47:45.287325+00:00
04-05-2016,141500,142000,138500,139000,98889.09375,807340,2026-02-19 06:47:45.287325+00:00
09-05-2016,138500,139000,135500,135500,96399.0625,482711,2026-02-19 06:47:45.287325+00:00
10-05-2016,136500,140500,136500,139500,99244.80469,346710,2026-02-19 06:47:45.287325+00:00
